mint,creator,grp,dev_sol,n_create_slot_trades,n_create_slot_wallets,multi_wallet_tx,max_wallets_in_one_tx,creator_is_first,p0,last_create_slot_price
Q189V6zFm7dJvx5TBijyKQLs9HJiSf6mv1cEKhSpump,AemFWTc3ekzVw5LhwZwQvASo9frMRR4akKJCxyTewFd8,other,1.1001719,2,1,0,1,1,3.004724113729571e-08,3.0431993064439744e-08
USNVL685TtcyqSP2k6MNQBUnN3CGmQctmEJk4EKpump,2pR8m1HnQArujGN12yaQyJNXQovK961uzTbYXQU2vSWt,other,2.962962961,4,3,0,1,1,3.375448670917235e-08,3.7103431701503575e-08
HR1gMJLhXBNBAHm3qsgviQeRUGctpkBVRB6tJL7Wpump,H1etRBGzL172JSZhnS1UHhHfVPNJX3uNgaNa97idjoPW,other,3.500546959,1,0,0,1,1,3.4864450032686053e-08,3.4864450032686053e-08
EWJxn8pjLwvpEHRYfKGZcsb5EeUWuYe45isjN2sPpump,4rQsc1gAmUkHt8M4xN5h8Mi3R5kXDr1XjMyXq36iQxnh,other,1.97530864,10,8,0,1,1,3.176204916605261e-08,5.2230036580309786e-08
5t82sjiFzrWhorQqEt55SsmoHFdNWaXvEJ1thSLApump,2sr5Q1NU8T4A38LLhsiA1Kj72ARZhmzxbj3Sp1KyobG5,other,4.829629628,2,1,0,1,1,3.768571295615049e-08,3.8990692900516556e-08
X7v9HHK4K245xvsBjnQ6BhhhfBaNrKgpiMhWmQKpump,Fxh3vKo52WJJPrV9GKT6Ho2mmUFbY545St7GTHvvhKdg,other,2.666666665,1,0,0,1,1,3.31503917676987e-08,3.31503917676987e-08
FG1murqfc6U9vLgkwWRHZyzHuak3hciv6WzwSmdSpump,2ceHorBhK7RPP6BvuhRmTX8uzRq6u8a9kT1TqbiL4V4e,other,4.444444443,2,1,0,1,1,3.6856780148708095e-08,4.347046066251133e-08
tcs54wiBz7jVLLhGyqnWjFPX9csmfA8QBWMYVkDpump,73U557R6EP8LpfTNsYtHQaJa7pCkmh6YHJ4c6wH4Esry,other,1.0,1,0,0,1,1,2.9853991922957425e-08,2.9853991922957425e-08
2SUjMemWwJPhuwFRmLy2toSnvnE6Ss5ZP1fdDbXXpump,skiFC6YBNzoH1DUrWLpVx2y7L1mECRNSQNYrEbEBNaz,other,5.0,5,4,0,1,1,3.805529667598632e-08,5.220753377419544e-08
HbCK8QuwNoy34swQ2RM5EcXpKh5puL59FTnJPs62ZqBM,8eB3mTnUZybgdG8rSHJU39TeetCi9LNokegVnSQFQSGs,other,3.85185185,8,7,0,1,1,3.559949902790307e-08,4.516464198721514e-08
GZtMHXps5FUEXnLNH2keBQDEbqLC6eDPVDu3YxnKpump,3WaTCgTy8eUneSVcw1PDvNgozXauBDLDbkXCjoKP4oYf,other,1.000156273,1,0,0,1,1,2.9854292915514784e-08,2.9854292915514784e-08
Cu7tSQpdeDM5wqdbFL7KhBrRPaYGPxbW5zusrjXypump,4r7eKx3hhJ9NfP7a8cD9YpMhKk2q1FDHdBPJq8jyNE2k,other,4.0,1,0,0,1,1,3.5911773842808325e-08,3.5911773842808325e-08
4jTyqceS38FscTpM36AibvjFJhVoF9fvXwZywfTbpump,DB1NawM5nJohVvZW26jQSWvfQn1ir2oHxq3bgSypXSSw,other,29.629629628,1,0,0,1,1,1.1045954425512426e-07,1.1045954425512426e-07
Gp79jSzEDzz6aXHig6DQCYtSAw2Pi6xMor4QQChkpump,JE8eFoVR5ZDpT7au7DdNuca1YrmNmSCDUoLy6rhzoY8Q,other,3.083247688,4,3,0,1,1,3.4001282310380267e-08,7.355360168976024e-08
W8KKyp6DDgU7xx7ZhdoE1QWFvianCAth6aurBRKpump,EE6Q1sZah3oouKJ1mESP38xmc4nEKQDtuGFzi1Pg323c,other,1.155555554,13,12,4,3,1,3.015435358429264e-08,6.293162348745914e-08
7cSvVxxzqU73uCCttmKxrSGGCYdDPPas1PMDxy64pump,9EVpdYwsHdSJDdmh45P6wipHWgQjGVZ4HgSUX7aMQq9M,other,4.790123455,1,0,0,1,1,3.7600269960054064e-08,3.7600269960054064e-08
