phase,at_utc,mint,status,interval_ms
life,2026-08-03T01:40:41.881Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:40:45.889Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:40:49.892Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:40:53.883Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:40:57.890Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:41:01.892Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:41:05.894Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:41:09.897Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:41:14.045Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:41:17.900Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:41:21.898Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:41:25.900Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:41:29.902Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:41:33.905Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:41:37.904Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:41:41.915Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:41:45.911Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:41:49.911Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:41:53.918Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
life,2026-08-03T01:41:57.919Z,BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,200,4000
