mint,symbol,grad_s_from_mint,grad_bracket_ms,grad_source,window_s,n_fills,n_amm_fills,pages,requests,reached_mint,truncated,create_slot_agrees,pairs_closed_60s,pairs_open_60s,pairs_closed_full,pairs_open_full,early_pairs,early_closed_60s,early_closed_full
9M9FKSWdCVFN8GVTqhZ89hBxwoAKd8xxBezP6P1Ypump,Chikuwa-Kun,1375.0,2000,page,4975,4750,1971,48,48,1,0,1,85,110,889,174,195,85,189
9XzzR443dGXL1vCcsnPpJLYUfrd8upxExqtc4MxNpump,Wish,602.0,0,page,4202,2303,874,24,24,1,0,1,62,99,542,68,161,62,155
9n89XRJz2hFQWTYjHpkuCSUwDze75KHUDVf9JojZpump,Rinko,3902.0,59000,bisect,7502,3537,907,36,36,1,0,1,86,155,781,91,241,86,238
9uyrFtA4gM4X7UZN9wS892anAKoAP9tjpdruBT85pump,Yui,19733.0,3000,page,23333,8231,6045,83,83,1,0,1,59,76,1295,369,135,59,131
9y2VWxWB8JPYbQoPRt7DXpEeqiDubeVZD25adVHBpump,Viltrumite,54850.0,833000,bisect,58450,4893,828,49,49,1,0,1,99,98,925,303,197,99,190
9yMgJHG75fhHhEKAGeMSWAMrTWnCnfwTGzELZ34spump,Bingus,5506.0,83000,bisect,9106,5105,652,52,52,1,0,1,100,149,995,121,249,100,239
A9YTBnsbweCwcAg6s4exHDa6PK1eHePRahGF9giNpump,Universal,2158.0,1000,page,5758,2339,464,24,24,1,0,1,103,156,623,74,259,103,254
AKvo9h7sKSW8je7psL4nZLCGpTK2ZSKQD2AFNDR9pump,relax,215.0,0,page,3815,8812,8127,89,89,1,0,1,61,103,977,888,164,61,149
AR9QXRPfM8KJyUV6EUVqxTn1j9hqcLjuqaQjBBkzpump,Mold,6264.0,92000,bisect,9864,3834,945,39,39,1,0,1,117,140,856,127,257,117,245
AXWqvGRy7q4e4xpZY1F3N7fjfZ1QgiY3weZCLxefpump,Trump,0.0,0,tape,3600,1072,1063,11,11,1,0,1,122,162,318,37,284,122,265
AxshJi4UveAFeB7gz1XJmPbqQz86mLSSGTLJKyrNpump,papoi,210.0,3000,tape,3810,3894,2714,39,39,1,0,1,66,109,711,218,175,66,165
B8oVNMRvRBuD1p78T5PdifECFstbiRfGfNVwZokepump,🤨,44.0,2000,tape,3644,5904,5030,60,60,1,0,1,182,307,1262,231,489,182,469
BB55VR9sdrXLZjEx94gToBMnMNF2qoT7PmkHqbuWpump,doug,556.0,0,page,4156,3194,2107,32,32,1,0,1,66,36,639,140,102,66,99
BQDTXj9bvYRY9hksEmnXVMxsPu5VwFDW3bwiXpiDpump,Sagawa,973.0,1000,page,4573,14295,11458,143,143,1,0,1,92,123,1589,1329,215,92,199
Bi6FgnTAo3pmPeiAK1eBatwWiaqXoXo5Yj8TsyPSpump,Leo,162.0,2000,page,3762,2697,1619,27,27,1,0,,99,147,659,94,246,99,240
Br89EN3uVz9Zwv4jyMMKHzkXaXRo1fAadctYQNVUpump,Natty,1778.0,27000,bisect,5378,1894,620,19,19,1,0,1,84,111,520,93,195,84,186
BroixebY3yiiqK7ibEuEufVmqFrLTJhiDoWiFUATpump,Puma,289.0,0,page,3889,5641,5015,57,57,1,0,1,27,28,1079,255,55,27,50
BwBFxTNL7kA1wr4dwFw8tZRE1zQM68gKQcfVGEzEpump,Killswitch,433.0,1000,page,4033,3487,1778,35,35,1,0,1,90,111,674,93,201,90,194
BweRjKus784r75xj8YrUHBKc8vtgfifxhUrtsu6Epump,Chokdee,363.0,2000,page,3963,3470,2350,35,35,1,0,1,81,118,778,136,199,81,184
C34Zcw52YyAsVcBfFhmaVpsGnHKEPZQHg2pqujdspump,Fox,10.0,3000,tape,3610,1094,1016,11,11,1,0,1,53,104,307,39,157,53,149
CCdYjtrXzLStqTNeBgBSkDuZ5iVjqPtsq7n2buLKpump,Molly,160.0,2000,page,3760,4530,3485,46,46,1,0,1,103,156,1033,154,259,103,256
CEHMrrvU6CEJofgXUq9gwRACRwSCG2SwVzRoi5BPpump,Mary,104721.0,1560000,bisect,108321,6120,626,62,62,1,0,1,62,144,1143,181,206,62,199
